"","jour","St. Johns","Halifax","Sydney","Yarmouth","Charlottvl","Fredericton","Scheffervll","Arvida","Bagottville","Quebec","Sherbrooke","Montreal","Ottawa","Toronto","London","Thunder Bay","Winnipeg","The Pas","Churchill","Regina","Pr. Albert","Uranium City","Edmonton","Calgary","Kamloops","Vancouver","Victoria","Pr. George","Pr. Rupert","Whitehorse","Dawson","Yellowknife","Iqaluit","Inuvik","Resolute"
"jan01",1,5.2,6,5.3,5.6,4.6,4,1.1,2.6,3,4.1,2.9,2.9,2.5,1.8,2.4,0.7,0.5,0.5,0.5,0.2,0.1,0.3,0.4,0.3,0.6,5.5,5.3,2.2,6,0.5,0.9,0.6,1.1,0.8,0.1
"jan02",2,5.8,5.3,5.2,3.7,4.4,3.2,1.3,1.2,1.8,2.3,2.9,1.2,1.1,0.9,1.4,1.9,0.6,0.9,0.6,0.3,0.9,0.4,0.8,0.1,0.4,6.6,5.2,1.9,5,0.8,0.6,0.7,0.9,0.9,0.1
"jan03",3,3.9,2.6,2.1,2.8,2.3,3.3,1.2,2.1,1.3,2.6,1.9,1.4,1.3,0.9,1.8,0.8,0.3,0.7,0.5,0.6,0.6,1.3,1.1,0.3,1.2,6.8,5.4,1.9,6.7,1.1,0.8,0.3,0.8,0.8,0
"jan04",4,4.3,5.3,5,5.3,4.8,3.3,1.3,2.3,2.5,4.3,2.9,3.6,3.1,1.5,2.9,0.3,0.5,0.5,0.4,0.3,0.3,0.6,1.1,0.6,1.3,5.1,4.5,1.8,7.1,0.2,0.8,0.5,0.7,0.4,0.2
"jan05",5,6.2,6,7.3,3.8,5.1,2.7,1,1.7,2.1,2.3,2.1,1.6,1.3,0.8,1.1,0.8,0.4,0.2,0.4,0.8,0.2,0.8,1,1,1.2,3.8,4.6,1.1,6.1,0.6,1,0.7,0.9,0.8,0.2
"jan06",6,3.4,2.1,2.2,2.4,1.5,0.8,1.3,2,1.6,1.5,0.8,1.1,1.3,1,1.4,1.7,0.7,0.9,0.2,0.5,0.3,1.1,0.8,0.2,0.5,2.5,2.6,1.2,8.1,0.7,1,0.5,0.2,0.4,0.2
"jan07",7,3.7,7.4,2.6,5.9,3,3.7,1,2.2,2.1,3.3,2.2,1.9,1.6,1.6,2.4,0.8,1,0.5,0.5,0.4,0.7,0.8,1.2,0.5,2,4.4,4.1,2.7,8,0.4,0.7,0.3,0.5,0.5,0.2
"jan08",8,7.1,4,5.7,4.4,5.2,2.5,2.3,1.7,1.5,3,2.3,1.9,1.8,1.5,2.6,1.7,0.7,0.3,0.4,0.4,0.4,0.3,0.9,0.5,0.6,5.6,4.3,2,7.9,0.5,0.5,0.4,0.5,0.3,0.1
"jan09",9,4.9,3.1,4.4,2.7,2.3,2.1,2.1,1.3,2.2,4.3,2.4,2.2,2.2,1.4,2.4,0.7,0.2,0.4,0.5,0.3,0.4,0.4,0.5,0.3,0.6,4.9,4.1,2.4,8,0.8,0.4,0.2,1.5,0.4,0.1
"jan10",10,3.6,6.5,5.4,4.9,3.6,3.1,1.6,2.5,1.9,2.2,1.8,1,1.6,1.8,3.1,1.7,1.1,0.9,0.2,0.3,0.3,1.2,0.7,0.4,1.2,7.1,6.2,1.7,6,0.4,0.8,0.4,0.8,0.4,0
"jan11",11,4.2,4.1,5.5,3.6,2.4,3.3,3,1.8,1.6,2.7,2.1,1.7,1.9,1.7,2.8,2.1,0.9,0.6,0.5,0.4,0.3,0.8,0.6,0.3,0.8,3.8,3.7,1.1,9.2,0.7,0.6,0.4,0.7,0.3,0
"jan12",12,2.6,2.7,3.9,2.9,2.6,2.5,1,0.8,1.8,1.7,1.3,1.4,1,0.5,0.8,0.9,0.5,0.4,0.8,0.4,0.4,0.9,0.6,0.2,0.6,6.4,6.1,2.1,8.6,0.7,0.6,0.5,0.7,0.4,0.1
"jan13",13,2.3,4.2,5.2,3.7,3.3,2,0.6,2.4,1.5,1.2,1.8,1.6,2,1.8,2.3,1,0.4,0.3,0.8,0.3,0.6,0.6,0.8,0.3,0.8,5.2,5.6,1.4,11.3,0.5,0.3,0.5,0.5,0.3,0.2
"jan14",14,4.9,7.9,6.3,6.8,5.9,5.1,1.2,1.9,2.6,3.1,2.9,3.1,2.7,2.7,3.4,0.6,0.7,0.5,0.4,0.8,0.7,0.8,1.3,0.6,0.9,6.7,7.5,2.2,11.5,0.5,0.7,0.4,0.3,0.4,0.2
"jan15",15,4.4,3.7,5.2,3.2,3.3,2.2,2.3,1,1.6,1.9,1.4,2.2,1.6,0.8,1.7,1.1,0.6,0.6,0.8,0.6,0.4,0.5,0.5,0.2,0.8,6.1,6.2,2.4,8.5,0.7,0.6,0.4,0.9,0.4,0.2
"jan16",16,3.4,3.8,3.8,3.9,2.7,1.6,2.2,1.7,1.2,2,1.5,1.2,0.9,0.8,1.3,0.7,0.6,0.2,0.7,0.2,0.4,0.9,0.4,0.2,0.8,5,3.2,2.9,11.5,0.3,1,0.7,0.8,0.2,0.1
"jan17",17,5.1,4,3.7,4.4,3.5,2.6,2.5,0.7,1.5,2,1.8,1.2,1.7,1.6,2.4,0.9,0.4,0.6,0.4,0.3,0.8,1.4,0.4,0.2,1,4.3,3.9,1,11.7,0.6,0.5,0.7,0.7,0.3,0.1
"jan18",18,3.4,4.2,4,4.6,4.3,3.3,9.7,1.5,1.6,2.8,2.8,1.5,1.6,0.9,1.2,0.4,0.2,0.3,0.6,0.1,0.6,0.6,0.4,0.2,0.8,6.6,7.4,0.7,7.2,0.5,0.7,0.4,0.6,0.5,0.2
"jan19",19,5.8,3.4,5,2.5,2.4,1,1.3,1.1,2,1.5,1.7,1.5,1.1,1.5,1.9,0.7,0.8,0.3,0.3,0.5,0.3,0.4,0.4,0.2,0.5,5.1,5.2,1.9,10.5,0.9,0.6,1,0.2,1.3,0.2
"jan20",20,6.5,5.4,4.7,4.2,3.3,4.3,1.6,2.5,2.1,2.7,3.1,3.5,2,1.7,2.3,1.1,0.2,0.5,0.4,0.4,0.3,0.4,0.3,0.1,0.4,3.3,4,1.9,9.1,0.3,0.4,0.7,0.2,0.7,0.1
"jan21",21,5.5,3.2,3.4,3.6,3.2,2.9,1.7,3.6,2.9,2.8,2.6,3,1.9,1,1.4,1.3,0.4,0.7,0.6,0.6,0.6,0.6,0.6,0.3,0.9,4,2.4,2.7,12.4,0.4,0.3,0.7,1,0.4,0.1
"jan22",22,2.5,1.4,3.7,2.5,1.7,1.9,1.3,2.2,1.5,2.5,1.7,2.4,1.4,1,2.3,1.1,0.8,0.6,0.5,0.7,0.6,0.7,0.7,0.3,0.8,4.4,3.8,1.5,11.4,0.5,0.6,0.7,0.9,0.3,0
"jan23",23,4.4,6.2,4.2,5.1,3.3,4,1.4,1.4,2.2,4.3,3.4,3.3,3,2.5,3.1,1.3,0.6,0.7,0.6,0.5,0.6,1.1,0.4,0.3,1.3,6.5,6.2,1.7,9,0.5,0.5,0.6,1.1,0.3,0.1
"jan24",24,4,4.6,5.7,4.4,2.8,2.5,1.2,1.6,1.8,3.4,1.9,2.2,2.7,2.5,2.8,1.7,1.2,0.5,0.6,0.8,0.8,0.5,1.1,0.7,0.7,4.7,3.4,1.6,6.4,0.4,0.2,0.3,1,0.5,0.1
"jan25",25,2.8,7.6,5,5.4,3.8,4.5,1.5,1.1,1.8,3.8,2.7,2.5,2.3,2,2.4,1.2,1.3,0.5,0.4,0.5,0.4,0.3,0.8,0.6,0.2,2.2,2.9,1,4.2,0.5,0.9,0.2,0.4,0.5,0.1
"jan26",26,4.8,7.4,8.7,4.2,4.6,5.1,2.4,4.2,2.2,4.9,3.9,3.5,2.8,3.2,4.8,0.8,0.4,0.6,0.4,0.3,0.5,0.5,0.5,0.3,1.1,5.1,4.5,1.8,10.5,0.4,0.5,0.5,0.6,0.6,0.2
"jan27",27,6.1,5.8,4.9,3.6,3.2,3.5,1.7,2.4,2.4,4.5,3.7,2.8,2.6,1.5,3.1,0.4,0.7,0.5,1.2,0.6,0.5,1,1,0.5,0.6,3.4,3.4,2.1,4.7,0.5,0.3,0.6,0.3,0.5,0.1
"jan28",28,7.6,3.1,3.5,3.5,3,3.8,1.7,2.4,2.1,4.2,2.9,2.5,2.3,1.3,2.4,1,0.5,0.6,1,0.6,0.5,0.2,1,0.4,0.6,3.1,2.5,1.4,7,0.6,0.3,0.3,0.7,0.3,0.1
"jan29",29,7.4,4.2,4.8,4.3,3,3,1.6,2.3,2,2.6,2.2,1,1.4,1.7,2.7,1,0.6,0.5,0.3,0.6,0.2,0.8,0.8,0.5,0.8,4.3,3.2,1.6,6.8,0.6,0.7,0.3,1,0.8,0.1
"jan30",30,3.4,3.7,4.8,3.6,3.6,3.6,0.5,2.2,2.8,4.3,2.7,3.5,3.2,1.4,2.4,0.3,0.3,0.5,0.5,0.3,0.8,0.6,1.9,0.5,0.8,4.2,2.9,2,8.3,0.4,0.6,0.4,0.4,0.6,0.1
"jan31",31,5,4.7,6.5,3.2,3.6,3.7,0.9,0.5,1.6,2.1,3.2,2.4,1.9,0.9,1.7,0.6,0.4,0.1,0.4,0.4,0.6,0.2,0.6,0.2,0.6,4.4,5,1.2,6.4,1,1,0.3,0.5,0.7,0.1
"feb01",32,5.5,2.8,4.5,2.7,3.4,2.6,1.4,2.1,1.6,2.1,1.6,1.4,1.3,1.8,3.4,0.7,0.4,0.3,0.3,0.6,0.3,0.4,0.4,0.4,0.6,5.1,4.1,1.1,5.4,0.5,0.5,0.4,0.7,0.5,0
"feb02",33,3.3,4.1,3.6,4.3,3.9,5.3,2,1.3,2.6,5.4,4.4,3.5,3.3,2.2,2.5,0.4,0.3,0.2,0.6,0.4,0.4,0.3,0.4,0.2,0.6,5.1,4.9,2.2,7.5,0.5,0.6,0.3,0.4,0.5,0.1
"feb03",34,4.7,6.7,5.9,4.4,3.7,5.1,2.6,2.9,2.4,4.7,2.3,2.3,2.4,2.3,2.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.4,0.4,4.3,3.7,2.1,4.2,0.5,0.4,0.4,0.2,0.2,0.1
