"","jour","St. Johns","Halifax","Sydney","Yarmouth","Charlottvl","Fredericton","Scheffervll","Arvida","Bagottville","Quebec","Sherbrooke","Montreal","Ottawa","Toronto","London","Thunder Bay","Winnipeg","The Pas","Churchill","Regina","Pr. Albert","Uranium City","Edmonton","Calgary","Kamloops","Vancouver","Victoria","Pr. George","Pr. Rupert","Whitehorse","Dawson","Yellowknife","Iqaluit","Inuvik","Resolute"
"jan01",1,0.716003343634799,0.778151250383644,0.724275869600789,0.7481880270062,0.662757831681574,0.602059991327962,0.0413926851582251,0.414973347970818,0.477121254719662,0.612783856719735,0.462397997898956,0.462397997898956,0.397940008672038,0.255272505103306,0.380211241711606,-0.154901959985743,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.698970004336019,-1,-0.522878745280338,-0.397940008672038,-0.522878745280338,-0.221848749616356,0.740362689494244,0.724275869600789,0.342422680822206,0.778151250383644,-0.301029995663981,-0.0457574905606751,-0.221848749616356,0.0413926851582251,-0.0969100130080564,-1
"jan02",2,0.763427993562937,0.724275869600789,0.716003343634799,0.568201724066995,0.643452676486187,0.505149978319906,0.113943352306837,0.0791812460476248,0.255272505103306,0.361727836017593,0.462397997898956,0.0791812460476248,0.0413926851582251,-0.0457574905606751,0.146128035678238,0.278753600952829,-0.221848749616356,-0.0457574905606751,-0.221848749616356,-0.522878745280338,-0.0457574905606751,-0.397940008672038,-0.0969100130080564,-1,-0.397940008672038,0.819543935541869,0.716003343634799,0.278753600952829,0.698970004336019,-0.0969100130080564,-0.221848749616356,-0.154901959985743,-0.0457574905606751,-0.0457574905606751,-1
"jan03",3,0.591064607026499,0.414973347970818,0.322219294733919,0.447158031342219,0.361727836017593,0.518513939877887,0.0791812460476248,0.322219294733919,0.113943352306837,0.414973347970818,0.278753600952829,0.146128035678238,0.113943352306837,-0.0457574905606751,0.255272505103306,-0.0969100130080564,-0.522878745280338,-0.154901959985743,-0.301029995663981,-0.221848749616356,-0.221848749616356,0.113943352306837,0.0413926851582251,-0.522878745280338,0.0791812460476248,0.832508912706236,0.732393759822969,0.278753600952829,0.826074802700826,0.0413926851582251,-0.0969100130080564,-0.522878745280338,-0.0969100130080564,-0.0969100130080564,-1.30102999566398
"jan04",4,0.633468455579587,0.724275869600789,0.698970004336019,0.724275869600789,0.681241237375587,0.518513939877887,0.113943352306837,0.361727836017593,0.397940008672038,0.633468455579587,0.462397997898956,0.556302500767287,0.491361693834273,0.176091259055681,0.462397997898956,-0.522878745280338,-0.301029995663981,-0.301029995663981,-0.397940008672038,-0.522878745280338,-0.522878745280338,-0.221848749616356,0.0413926851582251,-0.221848749616356,0.113943352306837,0.707570176097936,0.653212513775344,0.255272505103306,0.851258348719075,-0.698970004336019,-0.0969100130080564,-0.301029995663981,-0.154901959985743,-0.397940008672038,-0.698970004336019
"jan05",5,0.792391689498254,0.778151250383644,0.863322860120456,0.57978359661681,0.707570176097936,0.431363764158987,0,0.230448921378274,0.322219294733919,0.361727836017593,0.322219294733919,0.204119982655925,0.113943352306837,-0.0969100130080564,0.0413926851582251,-0.0969100130080564,-0.397940008672038,-0.698970004336019,-0.397940008672038,-0.0969100130080564,-0.698970004336019,-0.0969100130080564,0,0,0.0791812460476248,0.57978359661681,0.662757831681574,0.0413926851582251,0.785329835010767,-0.221848749616356,0,-0.154901959985743,-0.0457574905606751,-0.0969100130080564,-0.698970004336019
"jan06",6,0.531478917042255,0.322219294733919,0.342422680822206,0.380211241711606,0.176091259055681,-0.0969100130080564,0.113943352306837,0.301029995663981,0.204119982655925,0.176091259055681,-0.0969100130080564,0.0413926851582251,0.113943352306837,0,0.146128035678238,0.230448921378274,-0.154901959985743,-0.0457574905606751,-0.698970004336019,-0.301029995663981,-0.522878745280338,0.0413926851582251,-0.0969100130080564,-0.698970004336019,-0.301029995663981,0.397940008672038,0.414973347970818,0.0791812460476248,0.90848501887865,-0.154901959985743,0,-0.301029995663981,-0.698970004336019,-0.397940008672038,-0.698970004336019
"jan07",7,0.568201724066995,0.869231719730976,0.414973347970818,0.770852011642144,0.477121254719662,0.568201724066995,0,0.342422680822206,0.322219294733919,0.518513939877887,0.342422680822206,0.278753600952829,0.204119982655925,0.204119982655925,0.380211241711606,-0.0969100130080564,0,-0.301029995663981,-0.301029995663981,-0.397940008672038,-0.154901959985743,-0.0969100130080564,0.0791812460476248,-0.301029995663981,0.301029995663981,0.643452676486187,0.612783856719735,0.431363764158987,0.903089986991944,-0.397940008672038,-0.154901959985743,-0.522878745280338,-0.301029995663981,-0.301029995663981,-0.698970004336019
"jan08",8,0.851258348719075,0.602059991327962,0.755874855672491,0.643452676486187,0.716003343634799,0.397940008672038,0.361727836017593,0.230448921378274,0.176091259055681,0.477121254719662,0.361727836017593,0.278753600952829,0.255272505103306,0.176091259055681,0.414973347970818,0.230448921378274,-0.154901959985743,-0.522878745280338,-0.397940008672038,-0.397940008672038,-0.397940008672038,-0.522878745280338,-0.0457574905606751,-0.301029995663981,-0.221848749616356,0.7481880270062,0.633468455579587,0.301029995663981,0.897627091290441,-0.301029995663981,-0.301029995663981,-0.397940008672038,-0.301029995663981,-0.522878745280338,-1
"jan09",9,0.690196080028514,0.491361693834273,0.643452676486187,0.431363764158987,0.361727836017593,0.322219294733919,0.322219294733919,0.113943352306837,0.342422680822206,0.633468455579587,0.380211241711606,0.342422680822206,0.342422680822206,0.146128035678238,0.380211241711606,-0.154901959985743,-0.698970004336019,-0.397940008672038,-0.301029995663981,-0.522878745280338,-0.397940008672038,-0.397940008672038,-0.301029995663981,-0.522878745280338,-0.221848749616356,0.690196080028514,0.612783856719735,0.380211241711606,0.903089986991944,-0.0969100130080564,-0.397940008672038,-0.698970004336019,0.176091259055681,-0.397940008672038,-1
"jan10",10,0.556302500767287,0.812913356642856,0.732393759822969,0.690196080028514,0.556302500767287,0.491361693834273,0.204119982655925,0.397940008672038,0.278753600952829,0.342422680822206,0.255272505103306,0,0.204119982655925,0.255272505103306,0.491361693834273,0.230448921378274,0.0413926851582251,-0.0457574905606751,-0.698970004336019,-0.522878745280338,-0.522878745280338,0.0791812460476248,-0.154901959985743,-0.397940008672038,0.0791812460476248,0.851258348719075,0.792391689498254,0.230448921378274,0.778151250383644,-0.397940008672038,-0.0969100130080564,-0.397940008672038,-0.0969100130080564,-0.397940008672038,-1.30102999566398
"jan11",11,0.6232492903979,0.612783856719735,0.740362689494244,0.556302500767287,0.380211241711606,0.518513939877887,0.477121254719662,0.255272505103306,0.204119982655925,0.431363764158987,0.322219294733919,0.230448921378274,0.278753600952829,0.230448921378274,0.447158031342219,0.322219294733919,-0.0457574905606751,-0.221848749616356,-0.301029995663981,-0.397940008672038,-0.522878745280338,-0.0969100130080564,-0.221848749616356,-0.522878745280338,-0.0969100130080564,0.57978359661681,0.568201724066995,0.0413926851582251,0.963787827345555,-0.154901959985743,-0.221848749616356,-0.397940008672038,-0.154901959985743,-0.522878745280338,-1.30102999566398
"jan12",12,0.414973347970818,0.431363764158987,0.591064607026499,0.462397997898956,0.414973347970818,0.397940008672038,0,-0.0969100130080564,0.255272505103306,0.230448921378274,0.113943352306837,0.146128035678238,0,-0.301029995663981,-0.0969100130080564,-0.0457574905606751,-0.301029995663981,-0.397940008672038,-0.0969100130080564,-0.397940008672038,-0.397940008672038,-0.0457574905606751,-0.221848749616356,-0.698970004336019,-0.221848749616356,0.806179973983887,0.785329835010767,0.322219294733919,0.934498451243568,-0.154901959985743,-0.221848749616356,-0.301029995663981,-0.154901959985743,-0.397940008672038,-1
"jan13",13,0.361727836017593,0.6232492903979,0.716003343634799,0.568201724066995,0.518513939877887,0.301029995663981,-0.221848749616356,0.380211241711606,0.176091259055681,0.0791812460476248,0.255272505103306,0.204119982655925,0.301029995663981,0.255272505103306,0.361727836017593,0,-0.397940008672038,-0.522878745280338,-0.0969100130080564,-0.522878745280338,-0.221848749616356,-0.221848749616356,-0.0969100130080564,-0.522878745280338,-0.0969100130080564,0.716003343634799,0.7481880270062,0.146128035678238,1.05307844348342,-0.301029995663981,-0.522878745280338,-0.301029995663981,-0.301029995663981,-0.522878745280338,-0.698970004336019
